op,pole,design(x,y,z,p0num),spec(x,y,z,p0num)
I,+x,16384,0,0,16384,16384,0,0,16384
I,-x,-16384,0,0,16384,-16384,0,0,16384
I,+y,0,16384,0,16384,0,16384,0,16384
I,-y,0,-16384,0,16384,0,-16384,0,16384
I,+z,0,0,16384,32768,0,0,16384,32768
I,-z,0,0,-16384,0,0,0,-16384,0
X,+x,16384,0,0,16384,16384,0,0,16384
X,-x,-16384,0,0,16384,-16384,0,0,16384
X,+y,0,-16384,0,16384,0,-16384,0,16384
X,-y,0,16384,0,16384,0,16384,0,16384
X,+z,0,0,-16384,0,0,0,-16384,0
X,-z,0,0,16384,32768,0,0,16384,32768
Y,+x,-16384,0,0,16384,-16384,0,0,16384
Y,-x,16384,0,0,16384,16384,0,0,16384
Y,+y,0,16384,0,16384,0,16384,0,16384
Y,-y,0,-16384,0,16384,0,-16384,0,16384
Y,+z,0,0,-16384,0,0,0,-16384,0
Y,-z,0,0,16384,32768,0,0,16384,32768
Z,+x,-16384,0,0,16384,-16384,0,0,16384
Z,-x,16384,0,0,16384,16384,0,0,16384
Z,+y,0,-16384,0,16384,0,-16384,0,16384
Z,-y,0,16384,0,16384,0,16384,0,16384
Z,+z,0,0,16384,32768,0,0,16384,32768
Z,-z,0,0,-16384,0,0,0,-16384,0
H,+x,0,0,16384,32768,0,0,16384,32768
H,-x,0,0,-16384,0,0,0,-16384,0
H,+y,0,-16384,0,16384,0,-16384,0,16384
H,-y,0,16384,0,16384,0,16384,0,16384
H,+z,16384,0,0,16384,16384,0,0,16384
H,-z,-16384,0,0,16384,-16384,0,0,16384
S,+x,0,16384,0,16384,0,16384,0,16384
S,-x,0,-16384,0,16384,0,-16384,0,16384
S,+y,-16384,0,0,16384,-16384,0,0,16384
S,-y,16384,0,0,16384,16384,0,0,16384
S,+z,0,0,16384,32768,0,0,16384,32768
S,-z,0,0,-16384,0,0,0,-16384,0
T,+x,11585,11585,0,16384,11585,11585,0,16384
T,-x,-11585,-11585,0,16384,-11585,-11585,0,16384
T,+y,-11585,11585,0,16384,-11585,11585,0,16384
T,-y,11585,-11585,0,16384,11585,-11585,0,16384
T,+z,0,0,16384,32768,0,0,16384,32768
T,-z,0,0,-16384,0,0,0,-16384,0
